1	1
11	83064
13	51673
15	48350
17	48170
19	48242
21	48345
23	48510
25	48516
27	48516
29	48656
3	77
31	48573
33	48580
35	48790
37	48824
39	48759
41	48791
43	48912
45	48909
47	48910
49	49148
5	2116
51	49105
53	50386
55	75502
57	71525
59	404387
61	4763004
63	4758540
65	4762197
67	4751477
69	4743677
7	47618
71	4727161
73	4712813
75	4689531
77	4669063
79	4649468
81	4624796
83	257
85	93
87	182
9	919277
1	1
11	83064
13	51673
15	48350
17	48170
19	48242
21	48345
23	48510
25	48516
27	48516
29	48656
3	77
31	48573
33	48580
35	48790
37	48824
39	48759
41	48791
43	48912
45	48909
47	48910
49	49148
5	2116
51	49105
53	50386
55	75502
57	71525
59	404387
61	4763004
63	4758540
65	4762197
67	4751477
69	4743677
7	47618
71	4727161
73	4712813
75	4689531
77	4669063
79	4649468
81	4624796
83	257
85	93
87	182
9	919277
